ACT Legislative Assembly Election 2016 - Interim Distribution of Preferences: Brindabella Table 2 - Votes,,,,,,,,,,,,,Quota =,7806,,Number of vacancies = 5,,,,,,,,,,,,Updated 22 October 2016 2.45 pm,,,,,
Count,Sustainable Australia (ACT),,Canberra Liberals,,,,,Animal Justice Party,,Like Canberra,,ACT Labor,,,,,Liberal Democrats,,,,,The Greens,,,Australian Sex Party ACT,,Ungrouped,,Votes Exhausted at Count,Loss by fraction,Total votes at End of the Count,Remarks,
,Claude HASTIR,Melissa KEMP,Andrew WALL,Annette FAZEY-SOUTHWELL, Ed COCKS,Mark PARTON,Nicole LAWDER,Robyn SOXSMITH,Sarah O'BRIEN,Richard TUFFIN,Timothy FRIEL,Angie DRAKE,Joy BURCH,Karl MAFTOUM,Mick GENTLEMAN,Taimus WERNER-GIBBINGS,Greg RENET,Jacob GOWOR,Matt DONNELLY,Matt STRASCHKO,Vera SARAGIH,Ben MURPHY,Johnathan DAVIS,Michael MAZENGARB,Monique SHEPHERD,Steven BAILEY,Andrew HOLT,Joel McKAY,,,,,
1,251,446,5614,1669,3195,4962,4166,474,632,231,211,2940,3838,1871,3964,3131,261,256,284,169,205,590,684,1125,1623,2071,767,1200,,,,,
,251,446,5614,1669,3195,4962,4166,474,632,231,211,2940,3838,1871,3964,3131,261,256,284,169,205,590,684,1125,1623,2071,767,1200,,,46830,,
2,,2,1,,7,3,,,,1,2,5,1,2,3,2,28,35,32,-169,27,5,1,1,2,3,,2,4,,,Matt STRASCHKO's votes distributed. ,
,251,448,5615,1669,3202,4965,4166,474,632,232,213,2945,3839,1873,3967,3133,289,291,316,,232,595,685,1126,1625,2074,767,1202,4,,46830,Matt STRASCHKO fully excluded. ,
3,2,,4,3,1,2,1,5,3,123,-213,5,10,2,2,5,,,1,,1,2,,4,4,21,5,3,4,,,Timothy FRIEL's votes distributed. ,
,253,448,5619,1672,3203,4967,4167,479,635,355,,2950,3849,1875,3969,3138,289,291,317,,233,597,685,1130,1629,2095,772,1205,8,,46830,Timothy FRIEL fully excluded. ,
4,,2,7,2,4,4,5,1,5,5,,4,2,,3,7,42,60,56,,-233,6,5,2,4,3,3,1,,,,Vera SARAGIH's votes distributed. ,
,253,450,5626,1674,3207,4971,4172,480,640,360,,2954,3851,1875,3972,3145,331,351,373,,,603,690,1132,1633,2098,775,1206,8,,46830,Vera SARAGIH fully excluded. ,
5,-253,129,16,13,11,5,13,7,5,1,,4,7,2,3,3,2,,1,,,3,1,5,3,8,3,1,7,,,Claude HASTIR's votes distributed. ,
,,579,5642,1687,3218,4976,4185,487,645,361,,2958,3858,1877,3975,3148,333,351,374,,,606,691,1137,1636,2106,778,1207,15,,46830,Claude HASTIR fully excluded. ,
6,,2,12,9,7,6,4,6,1,2,,2,10,4,3,6,-333,110,105,,,3,3,3,6,17,6,4,2,,,Greg RENET's votes distributed. ,
,,581,5654,1696,3225,4982,4189,493,646,363,,2960,3868,1881,3978,3154,,461,479,,,609,694,1140,1642,2123,784,1211,17,,46830,Greg RENET fully excluded. ,
7,,44,19,5,8,19,9,13,17,-363,,14,18,9,14,17,,3,3,,,3,12,14,32,23,27,34,6,,,Richard TUFFIN's votes distributed. ,
,,625,5673,1701,3233,5001,4198,506,663,,,2974,3886,1890,3992,3171,,464,482,,,612,706,1154,1674,2146,811,1245,23,,46830,Richard TUFFIN fully excluded. ,
8,,2,9,3,5,5,26,4,3,,,,7,3,6,4,,-464,340,,,6,3,8,11,8,4,3,4,,,Jacob GOWOR's votes distributed. ,
,,627,5682,1704,3238,5006,4224,510,666,,,2974,3893,1893,3998,3175,,,822,,,618,709,1162,1685,2154,815,1248,27,,46830,Jacob GOWOR fully excluded. ,
9,,3,6,3,5,4,5,-510,351,,,15,16,4,3,2,,,1,,,2,4,14,11,45,10,2,4,,,Robyn SOXSMITH's votes distributed. ,
,,630,5688,1707,3243,5010,4229,,1017,,,2989,3909,1897,4001,3177,,,823,,,620,713,1176,1696,2199,825,1250,31,,46830,Robyn SOXSMITH fully excluded. ,
10,,12,4,1,8,3,2,,14,,,36,20,6,10,16,,,1,,,-620,211,212,30,19,11,3,1,,,Ben MURPHY's votes distributed. ,
,,642,5692,1708,3251,5013,4231,,1031,,,3025,3929,1903,4011,3193,,,824,,,,924,1388,1726,2218,836,1253,32,,46830,Ben MURPHY fully excluded. ,
11,,-642,52,23,28,39,41,,106,,,19,18,11,23,20,,,11,,,,34,34,36,23,55,59,10,,,Melissa KEMP's votes distributed. ,
,,,5744,1731,3279,5052,4272,,1137,,,3044,3947,1914,4034,3213,,,835,,,,958,1422,1762,2241,891,1312,42,,46830,Melissa KEMP fully excluded. ,
12,,,37,20,21,49,28,,17,,,12,10,5,18,6,,,-835,,,,32,16,33,38,16,20,457,,,Matt DONNELLY's votes distributed. ,
,,,5781,1751,3300,5101,4300,,1154,,,3056,3957,1919,4052,3219,,,,,,,990,1438,1795,2279,907,1332,499,,46830,Matt DONNELLY fully excluded. ,
13,,,36,13,33,25,19,,19,,,20,23,10,25,18,,,,,,,6,19,26,28,-907,572,15,,,Andrew HOLT's votes distributed. ,
,,,5817,1764,3333,5126,4319,,1173,,,3076,3980,1929,4077,3237,,,,,,,996,1457,1821,2307,,1904,514,,46830,Andrew HOLT fully excluded. ,
14,,,10,4,12,9,10,,24,,,22,33,10,29,20,,,,,,,-996,716,46,23,,18,10,,,Johnathan DAVIS's votes distributed. ,
,,,5827,1768,3345,5135,4329,,1197,,,3098,4013,1939,4106,3257,,,,,,,,2173,1867,2330,,1922,524,,46830,Johnathan DAVIS fully excluded. ,
15,,,48,20,41,50,52,,-1197,,,73,78,18,51,52,,,,,,,,168,207,132,,113,94,,,Sarah O'BRIEN's votes distributed. ,
,,,5875,1788,3386,5185,4381,,,,,3171,4091,1957,4157,3309,,,,,,,,2341,2074,2462,,2035,618,,46830,Sarah O'BRIEN fully excluded. ,
16,,,409,-1788,316,355,454,,,,,17,66,6,21,11,,,,,,,,20,14,45,,21,33,,,Annette FAZEY-SOUTHWELL's votes distributed. ,
,,,6284,,3702,5540,4835,,,,,3188,4157,1963,4178,3320,,,,,,,,2361,2088,2507,,2056,651,,46830,Annette FAZEY-SOUTHWELL fully excluded. ,
17,,,36,,15,18,65,,,,,418,435,-1963,441,334,,,,,,,,57,42,51,,20,31,,,Karl MAFTOUM's votes distributed. ,
,,,6320,,3717,5558,4900,,,,,3606,4592,,4619,3654,,,,,,,,2418,2130,2558,,2076,682,,46830,Karl MAFTOUM fully excluded. ,
18,,,180,,134,157,139,,,,,106,79,,145,126,,,,,,,,173,225,260,,-2076,352,,,Joel McKAY's votes distributed. ,
,,,6500,,3851,5715,5039,,,,,3712,4671,,4764,3780,,,,,,,,2591,2355,2818,,,1034,,46830,Joel McKAY fully excluded. ,
19,,,38,,43,47,53,,,,,75,59,,73,34,,,,,,,,55,-2355,1651,,,227,,,Monique SHEPHERD's votes distributed. ,
,,,6538,,3894,5762,5092,,,,,3787,4730,,4837,3814,,,,,,,,2646,,4469,,,1261,,46830,Monique SHEPHERD fully excluded. ,
20,,,47,,42,41,63,,,,,398,378,,320,348,,,,,,,,-2646,,491,,,518,,,Michael MAZENGARB's votes distributed. ,
,,,6585,,3936,5803,5155,,,,,4185,5108,,5157,4162,,,,,,,,,,4960,,,1779,,46830,Michael MAZENGARB fully excluded. ,
21,,,1226,,-3936,984,1061,,,,,112,83,,72,58,,,,,,,,,,137,,,203,,,Ed COCKS's votes distributed. ,
,,,7811,,,6787,6216,,,,,4297,5191,,5229,4220,,,,,,,,,,5097,,,1982,,46830,Ed COCKS fully excluded. Andrew WALL elected 1. ,
22,,,-5,,,2,2,,,,,,,,,,,,,,,,,,,,,,,1,,Andrew WALL's votes distributed. ,
,,,7806,,,6789,6218,,,,,4297,5191,,5229,4220,,,,,,,,,,5097,,,1982,1,46830,,
23,,,,,,109,106,,,,,1346,915,,1169,-4220,,,,,,,,,,239,,,336,,,Taimus WERNER-GIBBINGS's votes distributed. ,
,,,7806,,,6898,6324,,,,,5643,6106,,6398,,,,,,,,,,,5336,,,2318,1,46830,Taimus WERNER-GIBBINGS partially excluded. ,
24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taimus WERNER-GIBBINGS's votes distributed. ,
,,,7806,,,6898,6324,,,,,5643,6106,,6398,,,,,,,,,,,5336,,,2318,1,46830,Taimus WERNER-GIBBINGS fully excluded. ,
25,,,,,,516,491,,,,,619,681,,668,,,,,,,,,,,-5336,,,2361,,,Steven BAILEY's votes distributed. ,
,,,7806,,,7414,6815,,,,,6262,6787,,7066,,,,,,,,,,,,,,4679,1,46830,Steven BAILEY partially excluded. ,
26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steven BAILEY's votes distributed. ,
,,,7806,,,7414,6815,,,,,6262,6787,,7066,,,,,,,,,,,,,,4679,1,46830,Steven BAILEY fully excluded. ,
27,,,,,,110,180,,,,,-6262,2141,,2801,,,,,,,,,,,,,,1030,,,Angie DRAKE's votes distributed. ,
,,,7806,,,7524,6995,,,,,,8928,,9867,,,,,,,,,,,,,,5709,1,46830,Angie DRAKE partially excluded. Mick GENTLEMAN elected 2. Joy BURCH elected 3. ,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angie DRAKE's votes distributed. ,
,,,7806,,,7524,6995,,,,,,8928,,9867,,,,,,,,,,,,,,5709,1,46830,Angie DRAKE fully excluded. ,
29,,,,,,270,321,,,,,,,,-2061,,,,,,,,,,,,,,,1470,,Mick GENTLEMAN's votes distributed. ,
,,,7806,,,7794,7316,,,,,,8928,,7806,,,,,,,,,,,,,,5709,1471,46830,,
30,,,,,,116,255,,,,,,-1122,,,,,,,,,,,,,,,,,751,,Joy BURCH's votes distributed. ,
,,,7806,,,7910,7571,,,,,,7806,,7806,,,,,,,,,,,,,,5709,2222,46830,Mark PARTON elected 4. ,
31,,,,,,-104,91,,,,,,,,,,,,,,,,,,,,,,,13,,Mark PARTON's votes distributed. ,
,,,7806,,,7806,7662,,,,,,7806,,7806,,,,,,,,,,,,,,5709,2235,46830,Nicole LAWDER elected 5. ,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
